#SampleID	BarcodeSequence	LinkerPrimerSequence	tissue_date	time	rna_plate	dna_plate	row	col	plate_row	plate_col	collector	date	subpop	Description
LMAD.8.14A0121			LMAD_8	day	KAK_RNA_8	KAK_7_8	H	7	KAK_7_8.H	KAK_7_8.7	Shu Sara	8082014	nss	W64A
LMAD.8.14A0123			LMAD_8	day	KAK_RNA_8	KAK_7_8	A	8	KAK_7_8.A	KAK_7_8.8	Shu Sara	8082014	nss	N6
LMAD.8.14A0125			LMAD_8	day	KAK_RNA_8	KAK_7_8	B	8	KAK_7_8.B	KAK_7_8.8	Shu Sara	8082014	nss	A239
LMAD.8.14A0127			LMAD_8	day	KAK_RNA_8	KAK_7_8	C	8	KAK_7_8.C	KAK_7_8.8	Shu Sara	8082014	unknown	Yu796_NS
LMAD.8.14A0129			LMAD_8	day	KAK_RNA_8	KAK_7_8	D	8	KAK_7_8.D	KAK_7_8.8	Shu Sara	8082014	nss	Wf9
LMAD.8.14A0131			LMAD_8	day	KAK_RNA_8	KAK_7_8	E	8	KAK_7_8.E	KAK_7_8.8	Shu Sara	8082014	nss	H49
LMAD.8.14A0133			LMAD_8	day	KAK_RNA_8	KAK_7_8	F	8	KAK_7_8.F	KAK_7_8.8	Shu Sara	8082014	mixed	B164
LMAD.8.14A0135			LMAD_8	day	KAK_RNA_8	KAK_7_8	G	8	KAK_7_8.G	KAK_7_8.8	Shu Sara	8082014	nss	Pa762
LMAD.8.14A0139			LMAD_8	day	KAK_RNA_8	KAK_7_8	H	8	KAK_7_8.H	KAK_7_8.8	Shu Sara	8082014	unknown	Il 101T
LMAD.8.14A0141			LMAD_8	day	KAK_RNA_8	KAK_7_8	A	9	KAK_7_8.A	KAK_7_8.9	Shu Sara	8082014	mixed	SD40
LMAD.8.14A0143			LMAD_8	day	KAK_RNA_8	KAK_7_8	B	9	KAK_7_8.B	KAK_7_8.9	Shu Sara	8082014	nss	R177
LMAD.8.14A0145			LMAD_8	day	KAK_RNA_8	KAK_7_8	C	9	KAK_7_8.C	KAK_7_8.9	Shu Sara	8082014	ss	A680
LMAD.8.14A0147			LMAD_8	day	KAK_RNA_8	KAK_7_8	D	9	KAK_7_8.D	KAK_7_8.9	Shu Sara	8082014	mixed	B79
LMAD.8.14A0149			LMAD_8	day	KAK_RNA_8	KAK_7_8	E	9	KAK_7_8.E	KAK_7_8.9	Shu Sara	8082014	nss	C103
LMAD.8.14A0151			LMAD_8	day	KAK_RNA_8	KAK_7_8	F	9	KAK_7_8.F	KAK_7_8.9	Shu Sara	8082014	nss	B75
LMAD.8.14A0153			LMAD_8	day	KAK_RNA_8	KAK_7_8	G	9	KAK_7_8.G	KAK_7_8.9	Shu Sara	8082014	mixed	H84
LMAD.8.14A0159			LMAD_8	day	KAK_RNA_8	KAK_7_8	H	9	KAK_7_8.H	KAK_7_8.9	Shu Sara	8082014	nss	Va35
LMAD.8.14A0161			LMAD_8	day	KAK_RNA_8	KAK_7_8	A	10	KAK_7_8.A	KAK_7_8.10	Ramu Nick	8082014	mixed	NC364
LMAD.8.14A0163			LMAD_8	day	KAK_RNA_8	KAK_7_8	B	10	KAK_7_8.B	KAK_7_8.10	Ramu Nick	8082014	ss	B14A
LMAD.8.14A0165			LMAD_8	day	KAK_RNA_8	KAK_7_8	C	10	KAK_7_8.C	KAK_7_8.10	Ramu Nick	8082014	ss	B109
LMAD.8.14A0173			LMAD_8	day	KAK_RNA_8	KAK_7_8	D	10	KAK_7_8.D	KAK_7_8.10	Ramu Nick	8082014	popcorn	IDS91
LMAD.8.14A0175			LMAD_8	day	KAK_RNA_8	KAK_7_8	E	10	KAK_7_8.E	KAK_7_8.10	Ramu Nick	8082014	mixed	I 205
LMAD.8.14A0177			LMAD_8	day	KAK_RNA_8	KAK_7_8	F	10	KAK_7_8.F	KAK_7_8.10	Ramu Nick	8082014	nss	Mo17
LMAD.8.14A0179			LMAD_8	day	KAK_RNA_8	KAK_7_8	G	10	KAK_7_8.G	KAK_7_8.10	Ramu Nick	8082014	popcorn	IDS28
LMAD.8.14A0181			LMAD_8	day	KAK_RNA_8	KAK_7_8	H	10	KAK_7_8.H	KAK_7_8.10	Ramu Nick	8082014	nss	W22
LMAD.8.14A0183			LMAD_8	day	KAK_RNA_8	KAK_7_8	A	11	KAK_7_8.A	KAK_7_8.11	Ramu Nick	8082014	nss	CH9
LMAD.8.14A0185			LMAD_8	day	KAK_RNA_8	KAK_7_8	B	11	KAK_7_8.B	KAK_7_8.11	Ramu Nick	8082014	ss	B73
LMAD.8.14A0186			LMAD_8	day	KAK_RNA_8	KAK_7_8	C	11	KAK_7_8.C	KAK_7_8.11	Ramu Nick	8082014	nss	R109B
LMAD.8.14A0187			LMAD_8	day	KAK_RNA_8	KAK_7_8	D	11	KAK_7_8.D	KAK_7_8.11	Ramu Nick	8082014	nss	NC260
LMAD.8.14A0189			LMAD_8	day	KAK_RNA_8	KAK_7_8	E	11	KAK_7_8.E	KAK_7_8.11	Ramu Nick	8082014	nss	Oh40B
LMAD.8.14A0191			LMAD_8	day	KAK_RNA_8	KAK_7_8	F	11	KAK_7_8.F	KAK_7_8.11	Ramu Nick	8082014	nss	Va99
LMAD.8.14A0195			LMAD_8	day	KAK_RNA_8	KAK_7_8	G	11	KAK_7_8.G	KAK_7_8.11	Ramu Nick	8082014	ss	B73
LMAD.8.14A0197			LMAD_8	day	KAK_RNA_8	KAK_7_8	H	11	KAK_7_8.H	KAK_7_8.11	Ramu Nick	8082014	mixed	VaW6
LMAD.8.14A0199			LMAD_8	day	KAK_RNA_8	KAK_7_8	A	12	KAK_7_8.A	KAK_7_8.12	Ramu Nick	8082014	nss	B57
LMAD.8.14A0201			LMAD_8	day	KAK_RNA_8	KAK_7_8	B	12	KAK_7_8.B	KAK_7_8.12	Ramu Nick	8082014	ss	NC310
LMAD.8.14A0203			LMAD_8	day	KAK_RNA_8	KAK_7_8	C	12	KAK_7_8.C	KAK_7_8.12	Ramu Nick	8082014	nss	Mo44
LMAD.8.14A0205			LMAD_8	day	KAK_RNA_8	KAK_7_8	D	12	KAK_7_8.D	KAK_7_8.12	Ramu Nick	8082014	mixed	NC362
LMAD.8.14A0207			LMAD_8	day	KAK_RNA_8	KAK_7_8	E	12	KAK_7_8.E	KAK_7_8.12	Ramu Nick	8082014	nss	Oh43E
LMAD.8.14A0213			LMAD_8	day	KAK_RNA_8	KAK_7_8	F	12	KAK_7_8.F	KAK_7_8.12	Ramu Nick	8082014	nss	H95
LMAD.8.14A0217			LMAD_8	day	KAK_RNA_8	KAK_7_8	G	12	KAK_7_8.G	KAK_7_8.12	Ramu Nick	8082014	nss	Mo46
LMAD.8.14A0219			LMAD_8	day	KAK_RNA_8	KAK_7_8	H	12	KAK_7_8.H	KAK_7_8.12	Ramu Nick	8082014	nss	CI 3A
LMAD.8.14A0225			LMAD_8	day	KAK_RNA_9	KAK_9	A	1	KAK_9.A	KAK_9.1	Ramu Nick	8082014	nss	Mo1W
LMAD.8.14A0227			LMAD_8	day	KAK_RNA_9	KAK_9	B	1	KAK_9.B	KAK_9.1	Ramu Nick	8082014	ss	NC324
LMAD.8.14A0229			LMAD_8	day	KAK_RNA_9	KAK_9	C	1	KAK_9.C	KAK_9.1	Ramu Nick	8082014	nss	B97
LMAD.8.14A0231			LMAD_8	day	KAK_RNA_9	KAK_9	D	1	KAK_9.D	KAK_9.1	Ramu Nick	8082014	ss	NC328
LMAD.8.14A0233			LMAD_8	day	KAK_RNA_9	KAK_9	E	1	KAK_9.E	KAK_9.1	Ramu Nick	8082014	nss	38-11
LMAD.8.14A0235			LMAD_8	day	KAK_RNA_9	KAK_9	F	1	KAK_9.F	KAK_9.1	Ramu Nick	8082014	ss	B73Htrhm
LMAD.8.14A0237			LMAD_8	day	KAK_RNA_9	KAK_9	G	1	KAK_9.G	KAK_9.1	Ramu Nick	8082014	popcorn	SA24
LMAD.8.14A0239			LMAD_8	day	KAK_RNA_9	KAK_9	H	1	KAK_9.H	KAK_9.1	Ramu Nick	8082014	ss	B73
LMAD.8.14A0240			LMAD_8	day	KAK_RNA_9	KAK_9	A	2	KAK_9.A	KAK_9.2	Ramu Nick	8082014	unknown	W22 R-rstd
LMAD.8.14A0241			LMAD_8	day	KAK_RNA_9	KAK_9	B	2	KAK_9.B	KAK_9.2	Ramu Nick	8082014	ss	B37
LMAD.8.14A0247			LMAD_8	day	KAK_RNA_9	KAK_9	C	2	KAK_9.C	KAK_9.2	Ramu Nick	8082014	nss	Va22
LMAD.8.14A0249			LMAD_8	day	KAK_RNA_9	KAK_9	D	2	KAK_9.D	KAK_9.2	Ramu Nick	8082014	nss	B2
LMAD.8.14A0251			LMAD_8	day	KAK_RNA_9	KAK_9	E	2	KAK_9.E	KAK_9.2	Ramu Nick	8082014	popcorn	HP301
LMAD.8.14A0255			LMAD_8	day	KAK_RNA_9	KAK_9	F	2	KAK_9.F	KAK_9.2	Ramu Nick	8082014	nss	T8
LMAD.8.14A0257			LMAD_8	day	KAK_RNA_9	KAK_9	G	2	KAK_9.G	KAK_9.2	Ramu Nick	8082014	nss	Va17
LMAD.8.14A0261			LMAD_8	day	KAK_RNA_9	KAK_9	H	2	KAK_9.H	KAK_9.2	Ramu Nick	8082014	ss	NC368
LMAD.8.14A0263			LMAD_8	day	KAK_RNA_9	KAK_9	A	3	KAK_9.A	KAK_9.3	Kenta Mei	8082014	mixed	B104
LMAD.8.14A0265			LMAD_8	day	KAK_RNA_9	KAK_9	B	3	KAK_9.B	KAK_9.3	Kenta Mei	8082014	ts	NC264
LMAD.8.14A0267			LMAD_8	day	KAK_RNA_9	KAK_9	C	3	KAK_9.C	KAK_9.3	Kenta Mei	8082014	mixed	F2834T
LMAD.8.14A0271			LMAD_8	day	KAK_RNA_9	KAK_9	D	3	KAK_9.D	KAK_9.3	Kenta Mei	8082014	mixed	Oh603
LMAD.8.14A0275			LMAD_8	day	KAK_RNA_9	KAK_9	E	3	KAK_9.E	KAK_9.3	Kenta Mei	8082014	ss	R229
LMAD.8.14A0277			LMAD_8	day	KAK_RNA_9	KAK_9	F	3	KAK_9.F	KAK_9.3	Kenta Mei	8082014	nss	Pa875
LMAD.8.14A0279			LMAD_8	day	KAK_RNA_9	KAK_9	G	3	KAK_9.G	KAK_9.3	Kenta Mei	8082014	mixed	B10
LMAD.8.14A0281			LMAD_8	day	KAK_RNA_9	KAK_9	H	3	KAK_9.H	KAK_9.3	Kenta Mei	8082014	ss	B68
LMAD.8.14A0283			LMAD_8	day	KAK_RNA_9	KAK_9	A	4	KAK_9.A	KAK_9.4	Kenta Mei	8082014	nss	K55
LMAD.8.14A0287			LMAD_8	day	KAK_RNA_9	KAK_9	B	4	KAK_9.B	KAK_9.4	Kenta Mei	8082014	mixed	B105
LMAD.8.14A0289			LMAD_8	day	KAK_RNA_9	KAK_9	C	4	KAK_9.C	KAK_9.4	Kenta Mei	8082014	nss	DE1
LMAD.8.14A0291			LMAD_8	day	KAK_RNA_9	KAK_9	D	4	KAK_9.D	KAK_9.4	Kenta Mei	8082014	nss	NC290A
LMAD.8.14A0295			LMAD_8	day	KAK_RNA_9	KAK_9	E	4	KAK_9.E	KAK_9.4	Kenta Mei	8082014	ts	NC358
LMAD.8.14A0297			LMAD_8	day	KAK_RNA_9	KAK_9	F	4	KAK_9.F	KAK_9.4	Kenta Mei	8082014	ss	NC294
LMAD.8.14A0301			LMAD_8	day	KAK_RNA_9	KAK_9	G	4	KAK_9.G	KAK_9.4	Kenta Mei	8082014	nss	DE2
LMAD.8.14A0303			LMAD_8	day	KAK_RNA_9	KAK_9	H	4	KAK_9.H	KAK_9.4	Kenta Mei	8082014	ss	B73
LMAD.8.14A0304			LMAD_8	day	KAK_RNA_9	KAK_9	A	5	KAK_9.A	KAK_9.5	Kenta Mei	8082014	nss	B115
LMAD.8.14A0305			LMAD_8	day	KAK_RNA_9	KAK_9	B	5	KAK_9.B	KAK_9.5	Kenta Mei	8082014	ss	H91
LMAD.8.14A0311			LMAD_8	day	KAK_RNA_9	KAK_9	C	5	KAK_9.C	KAK_9.5	Kenta Mei	8082014	popcorn	4722
LMAD.8.14A0313			LMAD_8	day	KAK_RNA_9	KAK_9	D	5	KAK_9.D	KAK_9.5	Kenta Mei	8082014	nss	K148
LMAD.8.14A0321			LMAD_8	day	KAK_RNA_9	KAK_9	E	5	KAK_9.E	KAK_9.5	Kenta Mei	8082014	popcorn	SG 18
LMAD.8.14A0325			LMAD_8	day	KAK_RNA_9	KAK_9	F	5	KAK_9.F	KAK_9.5	Kenta Mei	8082014	mixed	Ky226
LMAD.8.14A0339			LMAD_8	day	KAK_RNA_9	KAK_9	G	5	KAK_9.G	KAK_9.5	Kenta Mei	8082014	mixed	Mo45
LMAD.8.14A0343			LMAD_8	day	KAK_RNA_9	KAK_9	H	5	KAK_9.H	KAK_9.5	Kenta Mei	8082014	popcorn	IDS69
LMAD.8.14A0345			LMAD_8	day	KAK_RNA_9	KAK_9	A	6	KAK_9.A	KAK_9.6	Kenta Mei	8082014	nss	E2558W
LMAD.8.14A0357			LMAD_8	day	KAK_RNA_9	KAK_9	B	6	KAK_9.B	KAK_9.6	Kenta Mei	8082014	nss	L317
LMAD.8.14A0377			LMAD_8	day	KAK_RNA_9	KAK_9	C	6	KAK_9.C	KAK_9.6	Kenta Mei	8082014	nss	Pa91
LMAD.8.14A0381			LMAD_8	day	KAK_RNA_9	KAK_9	D	6	KAK_9.D	KAK_9.6	Kenta Mei	8082014	ss	B73
LMAD.8.14A0393			LMAD_8	day	KAK_RNA_9	KAK_9	E	6	KAK_9.E	KAK_9.6	Kenta Mei	8082014	sweet	Il677a
LMAD.8.14A0395			LMAD_8	day	KAK_RNA_9	KAK_9	F	6	KAK_9.F	KAK_9.6	Kenta Mei	8082014	nss	Va14
LMAD.8.14A0435			LMAD_8	day	KAK_RNA_9	KAK_9	G	6	KAK_9.G	KAK_9.6	Kenta Mei	8082014	mixed	CML 328
LMAD.8.14A0445			LMAD_8	day	KAK_RNA_9	KAK_9	H	6	KAK_9.H	KAK_9.6	Kenta Mei	8082014	ts	NC340
LMAD.8.14A0455			LMAD_8	day	KAK_RNA_9	KAK_9	A	7	KAK_9.A	KAK_9.7	Kenta Mei	8082014	ss	B73
LMAD.8.14A0503			LMAD_8	day	KAK_RNA_9	KAK_9	B	7	KAK_9.B	KAK_9.7	Kenta Mei	8082014	nss	CI 187-2
LMAD.8.14A0567			LMAD_8	day	KAK_RNA_9	KAK_9	C	7	KAK_9.C	KAK_9.7	Kenta Mei	8082014	unknown	CML418
LMAD.8.14A0575			LMAD_8	day	KAK_RNA_9	KAK_9	D	7	KAK_9.D	KAK_9.7	Kenta Mei	8082014	unknown	DE_3
LMAD.8.14A0577			LMAD_8	day	KAK_RNA_9	KAK_9	E	7	KAK_9.E	KAK_9.7	Kenta Mei	8082014	unknown	MR20Shoepeg
LMAN.8.14A0001			LMAN_8	night	KAK_RNA_9	KAK_9	F	7	KAK_9.F	KAK_9.7	Karl Jeremy	8082014	nss	CM37
LMAN.8.14A0003			LMAN_8	night	KAK_RNA_9	KAK_9	G	7	KAK_9.G	KAK_9.7	Karl Jeremy	8082014	mixed	Mt42
LMAN.8.14A0005			LMAN_8	night	KAK_RNA_9	KAK_9	H	7	KAK_9.H	KAK_9.7	Karl Jeremy	8082014	mixed	CO255
LMAN.8.14A0007			LMAN_8	night	KAK_RNA_9	KAK_9	A	8	KAK_9.A	KAK_9.8	Karl Jeremy	8082014	nss	CM7
LMAN.8.14A0009			LMAN_8	night	KAK_RNA_9	KAK_9	B	8	KAK_9.B	KAK_9.8	Karl Jeremy	8082014	mixed	F7
LMAN.8.14A0011			LMAN_8	night	KAK_RNA_9	KAK_9	C	8	KAK_9.C	KAK_9.8	Karl Jeremy	8082014	mixed	ND246
LMAN.8.14A0013			LMAN_8	night	KAK_RNA_9	KAK_9	D	8	KAK_9.D	KAK_9.8	Karl Jeremy	8082014	nss	A654
LMAN.8.14A0015			LMAN_8	night	KAK_RNA_9	KAK_9	E	8	KAK_9.E	KAK_9.8	Karl Jeremy	8082014	nss	CO106
LMAN.8.14A0017			LMAN_8	night	KAK_RNA_9	KAK_9	F	8	KAK_9.F	KAK_9.8	Karl Jeremy	8082014	nss	W182B
LMAN.8.14A0019			LMAN_8	night	KAK_RNA_9	KAK_9	G	8	KAK_9.G	KAK_9.8	Karl Jeremy	8082014	mixed	EP1
LMAN.8.14A0021			LMAN_8	night	KAK_RNA_9	KAK_9	H	8	KAK_9.H	KAK_9.8	Karl Jeremy	8082014	nss	A188
LMAN.8.14A0023			LMAN_8	night	KAK_RNA_9	KAK_9	A	9	KAK_9.A	KAK_9.9	Karl Jeremy	8082014	nss	A659
LMAN.8.14A0025			LMAN_8	night	KAK_RNA_9	KAK_9	B	9	KAK_9.B	KAK_9.9	Karl Jeremy	8082014	nss	CMV3
LMAN.8.14A0027			LMAN_8	night	KAK_RNA_9	KAK_9	C	9	KAK_9.C	KAK_9.9	Karl Jeremy	8082014	nss	CO125
LMAN.8.14A0030			LMAN_8	night	KAK_RNA_9	KAK_9	D	9	KAK_9.D	KAK_9.9	Karl Jeremy	8082014	sweet	P39
LMAN.8.14A0031			LMAN_8	night	KAK_RNA_9	KAK_9	E	9	KAK_9.E	KAK_9.9	Karl Jeremy	8082014	nss	A556
LMAN.8.14A0033			LMAN_8	night	KAK_RNA_9	KAK_9	F	9	KAK_9.F	KAK_9.9	Karl Jeremy	8082014	nss	MEF156-55-2
LMAN.8.14A0035			LMAN_8	night	KAK_RNA_9	KAK_9	G	9	KAK_9.G	KAK_9.9	Karl Jeremy	8082014	nss	A554
LMAN.8.14A0037			LMAN_8	night	KAK_RNA_9	KAK_9	H	9	KAK_9.H	KAK_9.9	Karl Jeremy	8082014	nss	C49A
LMAN.8.14A0039			LMAN_8	night	KAK_RNA_9	KAK_9	A	10	KAK_9.A	KAK_9.10	Karl Jeremy	8082014	ss	CM105
LMAN.8.14A0043			LMAN_8	night	KAK_RNA_9	KAK_9	B	10	KAK_9.B	KAK_9.10	Karl Jeremy	8082014	mixed	W117HT
LMAN.8.14A0045			LMAN_8	night	KAK_RNA_9	KAK_9	C	10	KAK_9.C	KAK_9.10	Karl Jeremy	8082014	nss	A661
LMAN.8.14A0047			LMAN_8	night	KAK_RNA_9	KAK_9	D	10	KAK_9.D	KAK_9.10	Karl Jeremy	8082014	popcorn	I29
LMAN.8.14A0049			LMAN_8	night	KAK_RNA_9	KAK_9	E	10	KAK_9.E	KAK_9.10	Karl Jeremy	8082014	sweet	IA2132
